,name,keyname,keymode,tempo,label
0,Q3_7JIdJLkJ0S4_1,A#,2,121.558968807091,Q3
1,Q1_2Z9SjI131jA_7,C,1,121.57527690414301,Q1
2,Q3_nBIls0laAAU_1,a,1,121.51072060848499,Q3
3,Q4_8TYY0qG-KOw_0,F#,2,121.945453010217,Q4
4,Q3_K84TcgjCRt4_0,A,1,121.830023828435,Q3
5,Q1_doM_LWo-74A_4,D,1,121.57500769046699,Q1
6,Q3_Ie5koh4qvJc_8,d#,2,121.0660250775,Q3
7,Q2_1kny88W533Q_4,a,1,121.709769581834,Q2
8,Q4_V_jbWvQNh5c_0,F#,2,121.83739383548,Q4
9,Q4_GAvPwG2wYZM_0,E,1,122.010997643362,Q4
10,Q2_fuCxYrru2S4_1,d,1,121.78314371952601,Q2
11,Q2_dtS02mrDMsM_4,c#,1,121.93874116459101,Q2
12,Q4_GbUV3TXUzeQ_0,B,2,121.544184176133,Q4
13,Q2_lalnGhxT3PQ_0,d#,2,121.92948664266001,Q2
14,Q4_sA9ac1rod84_0,e,1,122.02043232340901,Q4
15,Q2_08t73Qgjkt4_1,B,2,122.214426450094,Q2
16,Q3_x4B0raxVODA_2,d#,2,121.52199762187901,Q3
17,Q4_1Qc15G0ZHIg_0,A,1,122.527978933509,Q4
18,Q1_sUJ4a74Skk8_0,A,1,122.086767502944,Q1
19,Q2_Iq6g_4AwUWs_1,f,2,122.46601733918399,Q2
20,Q4_iHPKusssXzk_2,G#,2,121.530846151291,Q4
21,Q2_38i12IPkL5c_2,e,1,121.966961198617,Q2
22,Q4_xgtwQGeB6_0_0,D,1,121.042840654491,Q4
23,Q2_cm6E860vDjY_2,d,1,122.46588537486,Q2
24,Q4_ldCQ6N9G6Mk_5,E,1,120.921747479597,Q4
25,Q4_Ie5koh4qvJc_17,g,2,121.91005181347201,Q4
26,Q2_jIKX3ShvLxo_2,a,1,121.759450171821,Q2
27,Q2_pouxqiySdI8_0,A,1,122.025583542134,Q2
28,Q2_S7Bo4-NCEDk_1,g#,2,121.938414941948,Q2
29,Q4_HYVmgq5Y93g_1,c#,1,121.210084033613,Q4
30,Q2_dtS02mrDMsM_3,C#,2,122.005221932115,Q2
31,Q4_vpTguZtJAFA_0,d#,2,121.72203744534599,Q4
32,Q1_gwmVjvR-sVs_0,D,1,122.096069868996,Q1
33,Q1_KxlqB3j0zys_1,E,1,122.853604161506,Q1
34,Q1_Ie5koh4qvJc_6,E,1,121.109719680185,Q1
35,Q2_9v2WSpn4FCw_8,G,1,122.214426450094,Q2
36,Q2_D-gDPh9ZpFk_2,b,1,122.02460456941999,Q2
37,Q1_eVMSeElk81Q_0,a,1,123.726647796199,Q1
38,Q4_heBmBQDWj-M_0,B,2,121.80161864174801,Q4
39,Q1_VXgRfsVd_o0_1,C,1,121.398143091207,Q1
40,Q2_sEQf5lcnj_o_3,A#,2,121.541394882087,Q2
41,Q4_Hwd6l9jK7bo_1,G,1,122.078578194777,Q4
42,Q3_PLfFWFZflQU_1,a,1,121.617863914051,Q3
43,Q4_FoTXpYZXxJs_0,g,2,120.944359053182,Q4
44,Q3_RL_cmmNVLfs_0,G#,2,121.40599255507401,Q3
45,Q2_48EYLEAgaBc_1,f,2,121.953204476094,Q2
